Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Brandon Goodwin\goodwbr01,34,12.6,.400,.299,.468,2.1,1.5,0.4,0.1,6.1
Aaron Gordon\gordoaa01,62,32.5,.437,.308,.484,7.7,3.7,0.8,0.6,14.4
Eric Gordon\gordoer01,36,28.2,.369,.317,.473,2.0,1.5,0.6,0.4,14.4
Devonte' Graham\grahade01,63,35.1,.382,.373,.495,3.4,7.5,1.0,0.2,18.2
Treveon Graham\grahatr01,55,16.9,.360,.275,.428,2.7,0.8,0.4,0.1,4.4
Treveon Graham\grahatr01,33,20.1,.354,.241,.411,3.0,0.9,0.5,0.1,5.2
Treveon Graham\grahatr01,22,12.1,.373,.351,.470,2.3,0.7,0.3,0.2,3.3
Jerami Grant\grantje01,71,26.6,.478,.389,.555,3.5,1.2,0.7,0.8,12.0
Jerian Grant\grantje02,6,13.3,.370,.250,.407,1.0,1.5,0.2,0.2,4.5
Josh Gray\grayjo01,2,11.5,.500,,.500,1.0,1.0,0.0,0.0,1.0
Danny Green\greenda02,68,24.8,.416,.367,.542,3.3,1.3,1.3,0.5,8.0
Draymond Green\greendr01,43,28.4,.389,.279,.446,6.2,6.2,1.4,0.8,8.0
JaMychal Green\greenja01,63,20.7,.429,.387,.560,6.2,0.8,0.5,0.4,6.8
Javonte Green\greenja02,48,9.8,.500,.273,.536,1.9,0.5,0.5,0.2,3.4
Jeff Green\greenje02,48,20.0,.462,.339,.552,2.8,1.0,0.5,0.4,9.4
Jeff Green\greenje02,30,18.4,.385,.327,.472,2.7,0.7,0.4,0.3,7.8
Jeff Green\greenje02,18,22.6,.564,.354,.658,2.9,1.7,0.8,0.5,12.2
Blake Griffin\griffbl01,18,28.4,.352,.243,.406,4.7,3.3,0.4,0.4,15.5
Marko Guduric\gudurma01,44,11.0,.395,.301,.475,1.7,1.0,0.3,0.2,3.9
Kyle Guy\guyky01,3,3.3,.400,.000,.400,0.3,0.3,0.0,0.0,1.3
Rui Hachimura\hachiru01,48,30.1,.466,.287,.489,6.1,1.8,0.8,0.2,13.5
Devon Hall\hallde01,11,7.4,.200,.235,.267,0.6,1.2,0.4,0.1,1.8
Donta Hall\halldo01,9,14.8,.682,,.682,4.2,0.4,0.3,0.7,4.3
Donta Hall\halldo01,4,12.0,.250,,.250,3.8,0.5,0.3,0.3,1.5
Donta Hall\halldo01,5,17.0,.778,,.778,4.6,0.4,0.4,1.0,6.6
Dusty Hannahs\hannadu01,2,6.5,.444,.667,.556,0.5,0.0,0.0,0.0,6.0
Tim Hardaway Jr.\hardati02,71,29.5,.434,.398,.550,3.3,1.9,0.6,0.1,15.8
James Harden\hardeja01,68,36.5,.444,.355,.543,6.6,7.5,1.8,0.9,34.3
Maurice Harkless\harklma01,62,23.0,.502,.347,.562,3.9,1.1,0.9,0.5,5.8
Maurice Harkless\harklma01,50,22.8,.516,.370,.578,4.0,1.0,1.0,0.6,5.5
Maurice Harkless\harklma01,12,23.8,.455,.280,.508,3.3,1.7,0.8,0.3,6.8
Jared Harper\harpeja01,3,2.7,.250,.000,.250,0.0,0.0,0.0,0.0,0.7
Montrezl Harrell\harremo01,63,27.8,.580,.000,.580,7.1,1.7,0.6,1.1,18.6
Gary Harris\harriga01,56,31.8,.420,.333,.487,2.9,2.1,1.4,0.3,10.4
Joe Harris\harrijo01,69,30.8,.486,.424,.596,4.3,2.1,0.6,0.2,14.5
Tobias Harris\harrito02,72,34.3,.471,.367,.527,6.9,3.2,0.7,0.6,19.6
Shaquille Harrison\harrish01,43,11.3,.467,.381,.515,2.0,1.1,0.8,0.4,4.9
Josh Hart\hartjo01,65,27.0,.423,.342,.537,6.5,1.7,1.0,0.4,10.1
Isaiah Hartenstein\harteis01,23,11.6,.657,.000,.657,3.9,0.8,0.4,0.5,4.7
Udonis Haslem\hasleud01,4,11.0,.364,.333,.409,4.0,0.3,0.0,0.0,3.0
Jaxson Hayes\hayesja02,64,16.9,.672,.250,.674,4.0,0.9,0.4,0.9,7.4
Gordon Hayward\haywago01,52,33.5,.500,.383,.561,6.7,4.1,0.7,0.4,17.5
