Player,PER,TS%,WS,BPM,VORP
Jon Leuer\leuerjo01,8.9,.505,0.1,-4.6,-0.1
Caris LeVert\leverca01,14.2,.525,2.3,-0.8,0.6
DeAndre Liggins\liggide01,6.0,.467,0.5,-2.5,-0.1
DeAndre Liggins\liggide01,5.0,.424,0.2,-2.8,-0.1
DeAndre Liggins\liggide01,7.8,.537,0.3,-1.8,0.0
Damian Lillard\lillada01,25.2,.594,12.6,7.2,6.3
Jeremy Lin\linje01,15.9,.597,0.0,-5.4,0.0
Shaun Livingston\livinsh01,11.6,.533,1.8,-3.1,-0.3
Kevon Looney\looneke01,14.8,.588,2.8,-0.2,0.4
Brook Lopez\lopezbr01,16.5,.557,3.8,0.9,1.3
Robin Lopez\lopezro01,14.7,.552,1.9,-2.2,-0.1
Kevin Love\loveke01,22.4,.614,6.4,3.3,2.2
Kyle Lowry\lowryky01,19.5,.598,10.2,5.2,4.5
Timothé Luwawu-Cabarrot\luwawti01,7.0,.511,0.8,-4.1,-0.4
Tyler Lydon\lydonty01,0.0,,0.0,-5.4,0.0
Trey Lyles\lylestr01,17.9,.591,3.9,1.3,1.1
Shelvin Mack\macksh01,13.3,.518,1.9,-1.4,0.2
Josh Magette\magetjo01,11.9,.464,0.4,-2.6,0.0
Ian Mahinmi\mahinia01,12.2,.601,2.2,-4.4,-0.7
Thon Maker\makerth01,10.2,.499,1.5,-3.5,-0.5
Boban Marjanović\marjabo01,26.0,.616,1.5,2.5,0.4
Boban Marjanović\marjabo01,21.6,.597,0.5,0.8,0.1
Boban Marjanović\marjabo01,30.6,.637,1.0,4.2,0.3
Lauri Markkanen\markkla01,15.6,.552,3.3,-0.2,0.9
Jarell Martin\martija01,10.5,.516,1.3,-4.0,-0.8
Frank Mason III\masonfr01,13.0,.480,0.5,-2.3,-0.1
Mangok Mathiang\mathima01,18.0,.538,0.1,-4.6,0.0
Wesley Matthews\matthwe02,11.4,.541,2.6,-0.9,0.6
Luc Mbah a Moute\mbahalu01,10.3,.595,2.8,-0.2,0.7
James Michael McAdoo\mcadoja01,7.4,.508,0.0,-3.0,0.0
Patrick McCaw\mccawpa01,7.4,.477,0.6,-4.1,-0.5
CJ McCollum\mccolcj01,17.0,.536,6.6,1.2,2.4
T.J. McConnell\mccontj01,12.5,.545,3.8,0.0,0.9
Erik McCree\mccreer01,-8.9,.000,-0.1,-13.7,0.0
Chris McCullough\mcculch01,15.8,.478,0.2,-1.8,0.0
Doug McDermott\mcderdo01,10.4,.579,2.3,-2.2,-0.1
Doug McDermott\mcderdo01,9.9,.562,1.3,-2.1,0.0
