FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS,PER,TS%,WS,BPM,VORP,All-star
0.553,0.304,0.589,13.6,5.6,1,1,29.5,31.9,0.613,11.1,11.5,6.6,yes
0.43,0.385,0.485,6.3,1.5,0.8,0.5,15.4,12.4,0.525,1.3,-3.6,-0.8,no
0.505,0.39,0.584,5.3,1.6,1.4,0.7,10.6,13.2,0.6,5.7,1.2,1.7,no
0.546,0.231,0.548,11.5,1.9,0.7,1.5,18.2,20,0.568,3.1,0.4,0.7,no
0.403,0.375,0.511,6.1,7,1.4,0.6,11.8,13.1,0.517,2.4,0.6,1.3,no
0.46,0.381,0.525,4.9,2.2,0.6,0.2,14.5,13.3,0.574,4.6,-1.3,0.5,no
0.402,0.32,0.445,5,2.6,1,0.3,14.3,10.7,0.479,-0.5,-4.3,-1,no
0.45,0.375,0.523,6.3,3.7,1.1,0.5,15.1,15.6,0.549,4.2,1.1,1.5,no
0.455,0.353,0.52,4.2,6.1,1.2,0.4,30.5,23.2,0.579,5.1,2.9,2.5,no
0.434,0.424,0.598,4.5,1.7,0.7,0.6,15.4,15.5,0.628,3.5,0.9,1.1,no
0.44,0.372,0.547,3.4,3.4,1,0.2,15.1,15.2,0.565,3.1,0.6,1.2,no
0.447,0.414,0.548,4.1,2.1,0.5,0.1,20.2,15.6,0.603,4.2,0.1,1.1,no
0.489,0.354,0.544,4.2,6.5,0.7,0.3,26.6,20.6,0.618,7.5,2.2,2.6,no
0.424,0.33,0.489,5.6,1.8,0.6,0.7,13,12.1,0.52,1.6,-2.5,-0.3,no
0.438,0.326,0.489,4.9,7.1,0.6,0.2,16.5,17.7,0.541,4,1.8,1.6,no
0.407,0.358,0.476,3.3,2.1,0.9,0.4,16.2,11.3,0.51,1.2,-4.1,-1.1,no
0.481,0.382,0.554,6.4,2.1,1.1,0.4,20.3,16.9,0.583,4.9,0.8,1.4,no
0.455,0.244,0.474,6.7,6,1.8,0.6,19.9,23.6,0.585,9,5.4,3.7,yes
0.629,,0.629,13.8,1.2,0.8,1.8,13.9,20.6,0.626,4.9,1.4,1.1,no
0.534,0.207,0.542,9.4,1.2,0.8,0.8,11.3,15.5,0.59,3.3,-2.4,-0.1,no
0.583,0.401,0.632,10.1,1.5,0.8,1.6,21.6,23.5,0.659,4.9,3.1,1.7,no
0.409,0.375,0.494,3.2,4.4,0.8,0.1,14.4,14.1,0.537,2.5,0.3,0.8,no
0.422,0.335,0.533,6.6,1.3,1.6,1.3,12.4,13.3,0.559,3.7,0,1.1,no
0.503,0.33,0.536,9.3,3.2,1.5,2.3,26.1,27.4,0.61,11.1,8,5.4,yes
0.531,0.257,0.535,5.5,5.6,1,0.3,22.1,21.6,0.603,7.3,1.9,2.3,no
0.415,0.308,0.476,3.5,6.8,0.6,0.3,20.6,17.8,0.541,4.8,1.8,1.9,no
0.463,0.316,0.531,9.4,8.8,1,0.2,28.8,27.6,0.585,8.8,8.4,5.4,yes
0.533,0.143,0.536,15.2,2.7,1.9,1.6,17.7,22,0.553,4.2,0.9,1.4,no
0.477,0.331,0.512,11.6,3,0.9,1.3,23,25.8,0.59,6,4.7,2.5,yes
0.466,0.376,0.575,5.7,1.6,0.6,0.5,9.5,12.3,0.595,4.9,-0.2,0.9,no
0.467,0.399,0.56,2.6,3.2,1.1,0.2,18.5,16.4,0.595,4.6,1,1.6,no
0.48,0.292,0.513,3.8,6.8,1.5,0.5,21.1,20.6,0.558,4,1.8,1.6,no
0.438,0.405,0.547,5.2,1.9,0.7,0.1,18.7,19.5,0.612,6.3,3.3,2.4,no
0.401,0.355,0.476,1.9,3.9,0.7,0.1,12.3,8.5,0.498,-1.3,-5.5,-1.7,no
0.439,0.412,0.539,5.7,3.9,1.4,0.4,21.5,21.1,0.589,4.8,4.9,2.5,no
